dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time,Ratio
v_ssum_100000: 27-35,100000,17000110010,5.666551519,5.667336335,5.673349018,5.89367813,0.8235276125,0.1176486506,0.8823513493,0,6253,4.466409427E-07,9000040001,0.6428572446,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,1279731.258,40678101.71,0.990372107,0,0,0,0,0,0,0,0,0,0,909,Y,22.717809,15.0397,1.5105227498
v_ssum_50000: 27-35,50000,4250055010,5.666632122,5.668143589,5.680150536,6.139793497,0.8235258131,0.1176502424,0.8823497572,0,3128,8.937066234E-07,2250020001,0.6428573458,0,0,0.3332306634,0.6666653333,0.9998959967,0.3332306634,0.9999479983,639663.1136,20270405.43,0.9807604897,0,0,0,0,0,0,0,0,0,0,454,Y,5.600589,5.993396,0.934460029
reduction_100000: 13-21,100000,12000110007,4.000041818,4.000787417,4.006773177,4.230995793,0.6666655556,0.1666684723,0.8333315276,0,2,2.499981249E-10,6000040001,0.7499993747,0,0,0,1,1,0,1,3000020002,3000020002,0.9863736777,0,0,0,0,0,0,0,0,0,0,909,N,16.071997,13.704642,1.1727411048
reduction_50000: 13-21,50000,3000055007,4.000083636,4.001575123,4.013569147,4.490298835,0.6666644446,0.166670278,0.8333297213,0,2,0.000000001,1500020001,0.7499987486,0,0,0,1,1,0,1,500006667.7,750010001.5,0.9727474379,0,0,0,0,0,0,0,0,0,0,454,Y,4.202447,5.381065,0.7809693806
search_vector:50000: 35-50,50000,1624755008,4.333469922,4.336419177,4.360509571,5.4276402,0.6153850895,0.3076925441,0.6153881656,0.153838578,784,7.841176129E-07,624905001,0.6249987471,0,0,0.0713377121,0.9285742858,0.9999119979,0.0713377121,0.9999559989,1115886.483,32402037.15,0.9496716424,0,0,0,0.000000985,0.00000197,0.000003939,0.00000788,0.0000158,0.000031511,0.000063,454,Y,19.518681,0.980425,19.908387689
search_vector:30000: 35-50,30000,584853008,4.333561006,4.33847931,4.378821353,6.526686287,0.6153854064,0.3076927015,0.6153905325,0.1538335253,471,1.308660477E-06,224943001,0.6249979085,0,0,0.0712768553,0.9285751429,0.9998519982,0.0712768553,0.9999259991,668605.1019,18524294.29,0.9161101153,0,0,0,0.00000274,0.00000547,0.0000109,0.0000219,0.0000438,0.0000875,0.0001752117,272,Y,6.738834,0.642431,10.4895840954
search_vector:12000: 35-50,12000,93541208,4.333902751,4.346225583,4.44891257,9.237420689,0.6153866005,0.3076932896,0.6153994077,0.1538145627,191,0.000003318,35977200,0.6249947233,0,0,0.0710468419,0.9285811432,0.9996279851,0.0710468419,0.9998139926,265080.0158,6295650.375,0.7901881605,0,0,0,0.0000171,0.0000342,0.0000684,0.0001368057,0.0002735535,0.0005472226,0.0010953718,109,Y,1.100819,0.428279,2.5703314895
string_matching:4000000: 52-70,4000000,35960593009,5.999830346,6.015028094,6.137270214,12.51404668,0.611127158,0.2222209878,0.7777790121,0,3203,1.457466261E-07,13984897001,0.6363570259,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6235142.635,193955310.7,0.8183189734,0,0,0,4.45E-08,0.000000089,0.000000178,0.000000356,0.000000712,0.00000142,0.00000285,36315,Y,33.43429,29.519475,1.1326180428
string_matching:3000000: 52-70,3000000,26959193009,5.999830346,6.015028094,6.137270214,12.51404668,0.6111271581,0.2222209878,0.7777790121,0,2423,1.470669014E-07,4494297000,0.2727867659,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6183648.639,189579708.9,0.8183189734,0,0,0,5.93E-08,0.000000119,0.000000237,0.000000475,0.000000949,0.0000019,0.0000038,27225,Y,24.870105,22.252725,1.117620651
string_matching:2000000: 52-70,2000000,17957793009,5.999830346,6.015028094,6.137270214,12.51404668,0.6111271581,0.2222209878,0.777779012,0,1640,1.494374E-07,6983697001,0.6363570257,0,0,0,0.9995199846,0.9995199846,0,0.9997599923,6083046.953,184744388.9,0.8183189734,0,0,0,8.91E-08,0.000000178,0.000000356,0.000000713,0.00000142,0.00000285,0.00000571,18135,Y,16.409556,14.847034,1.1052413566
Lud:2048: 49-66,2048,63064197129,5.480054797,9.526174433,22.15619838,271.3089014,0.7273482357,0.0909394372,0.8182875754,0.2271486453,131076,2.85757685E-06,20083041283,0.4378286936,0.3996193208,0,0.0110939082,0.9223106374,0.947214921,0.0110939082,0.9549727573,306161.4614,9790295.125,0.0629720984,0.1997364968,0.0001463271,0,0.0000946,0.0001727275,0.000280034,0.0003239226,0.0003243264,0.0003251328,0.0003267844,10177,Y,47.143766,2.010043,23.4541081957
Lud:1536: 49-66,1536,26615248393,5.480024791,9.525551999,22.12389785,263.211159,0.7273733364,0.0909495885,0.8183227517,0.2271072873,73732,3.808624123E-06,8478141187,0.4379381143,0.3994925077,0,0.0095219044,0.9230806161,0.9468853771,0.0095219044,0.9546628041,229696.6068,7341230.996,0.0630876841,0.1996487374,0.000195033,0,0.0001665907,0.0003040467,0.0004924392,0.0005693848,0.0005703416,0.0005722509,0.0005761937,5733,Y,11.526939,1.134848,10.1572536586
Lud:1024: 49-66,1024,7891952649,5.479964574,9.524126805,22.04423755,248.1363015,0.7274234348,0.0909699449,0.81839299,0.2270245755,32772,5.708620688E-06,2515366403,0.4381567401,0.3992390015,0,0.0076652264,0.9240158425,0.9466754681,0.0076652264,0.954492461,153234.9041,4889789.947,0.0642336984,0.1994733308,0.00029234,0,0.0003678374,0.0006705066,0.0010837108,0.001251981,0.0012551858,0.0012615663,0.0012738446,2556,Y,3.024692,0.591112,5.1169524557
 FDTD-2D:8: 66-105,524288,7147561679,4.798247972,13.4895615,29.03866783,450.360961,0.6342798046,0.0474360199,0.8051580342,0.1920032858,1742,3.84246E-07,1984976509,0.4378411502,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2413644.27,70076138.65,0.0351941437,0,0,0,0.0000224,0.0000447,0.0000456,0.0000456,0.0000455,0.0000452,0.0000457,4765,Y,6.846823,1.110576,6.1651098169
